user_id,date,steps,calories_burned,distance_km,active_minutes,sleep_hours,heart_rate_avg,workout_type,weather_conditions,location,mood
498,01-01-2023,7338,3155.71,6.48,676,1,160,Swimming,Clear,Other,Neutral
568,01-01-2023,9418,2785.41,5.19,203,5.1,90,Yoga,Rain,Park,Stressed
104,01-01-2023,23664,2561.28,12.14,1431,5.4,142,None,Rain,Home,Tired
457,01-01-2023,2249,1716.64,8.06,193,11.7,125,Walking,Clear,Park,Neutral
655,01-01-2023,20826,2684.46,7.67,272,10.4,163,None,Rain,Other,Happy
706,01-01-2023,12682,3185.29,6,240,7.9,89,Yoga,Snow,Office,Neutral
252,01-01-2023,492,3745.35,7.08,1183,5.8,93,None,Fog,Other,Happy
109,01-01-2023,17231,2151.77,11.67,917,8.3,169,Running,Fog,Park,Happy
996,01-01-2023,24035,2034.65,2.22,573,8.7,70,Yoga,Rain,Home,Tired
485,01-01-2023,4119,1741.12,19.66,948,8.8,125,Yoga,Clear,Gym,Tired
779,01-01-2023,11423,3763.52,15.43,1256,8.3,60,Cycling,Clear,Other,Tired
504,01-01-2023,24507,1673.87,16.67,847,1.4,85,Swimming,Snow,Other,Happy
716,01-01-2023,20722,2732.63,1.77,482,9.9,84,Swimming,Rain,Gym,Happy
310,01-01-2023,13697,1552.78,2.17,530,5.4,89,Swimming,Snow,Home,Tired
229,01-01-2023,23629,2587.12,5.77,1254,4.5,174,Gym Workout,Clear,Home,Happy
715,01-01-2023,8488,3289.56,4.49,542,8.1,172,Yoga,Snow,Other,Stressed
894,01-01-2023,15210,2225.33,8.94,874,8.3,94,Walking,Snow,Gym,Tired
443,01-01-2023,13743,3690.3,11.88,19,11.9,125,Swimming,Fog,Gym,Neutral
72,01-01-2023,10200,1665.47,16.24,1319,10.4,66,Yoga,Clear,Other,Stressed
440,01-01-2023,7309,1882.33,14.24,772,1.9,132,Running,Fog,Park,Neutral
371,01-01-2023,1130,3820.1,6.42,576,1.6,130,Yoga,Rain,Office,Tired
920,01-01-2023,9161,2379.19,13.29,151,3,168,Swimming,Rain,Other,Stressed
574,01-01-2023,21767,2914.96,8.77,1306,8.6,137,Swimming,Fog,Home,Happy
627,01-01-2023,8188,3918.44,14.53,901,1,114,Gym Workout,Snow,Office,Neutral
465,01-01-2023,19007,3123.27,4.01,109,11,177,Swimming,Snow,Home,Neutral
517,01-01-2023,15736,1768.96,0.13,517,5.9,81,Swimming,Clear,Home,Neutral
32,01-01-2023,17244,3115.58,15.35,1374,1.5,168,Yoga,Snow,Park,Happy
266,01-01-2023,17281,2372.17,10.08,677,6,150,Cycling,Snow,Other,Neutral
130,01-01-2023,6044,2905.25,0.22,628,11.3,145,Running,Clear,Gym,Stressed
696,01-01-2023,20534,2642.12,16.18,1187,1.3,71,Cycling,Rain,Other,Happy
110,01-01-2023,28765,3119.01,8.23,1328,11.3,175,Gym Workout,Clear,Home,Happy
916,01-01-2023,6540,1805.13,6.39,1105,4.5,80,Gym Workout,Snow,Park,Happy
297,01-01-2023,7546,2558.41,8.83,605,7.4,161,Walking,Clear,Home,Happy
964,01-01-2023,24607,3172.46,13.57,1430,3.8,88,Yoga,Clear,Office,Happy
513,01-01-2023,14551,2144.17,14.9,496,10.8,79,Running,Fog,Park,Stressed
409,01-01-2023,25553,2352.28,11.69,549,6.8,177,None,Rain,Office,Stressed
501,01-01-2023,4796,2232.55,4.98,1305,10.7,101,Yoga,Snow,Gym,Happy
732,01-01-2023,29405,2046.65,15.37,965,9.8,92,Swimming,Clear,Gym,Stressed
952,01-01-2023,14615,2996.04,18.28,507,10.6,120,Walking,Rain,Gym,Tired
272,01-01-2023,21139,3499.57,19.66,383,6,151,Gym Workout,Fog,Park,Happy
519,01-01-2023,16161,2340.62,15.82,766,0,98,Swimming,Fog,Office,Neutral
584,01-01-2023,26267,1713.29,1.04,119,0.1,71,Walking,Clear,Office,Happy
973,01-01-2023,17438,3311.99,10.88,417,6.1,73,Swimming,Fog,Park,Neutral
652,01-01-2023,7114,1595.74,10.96,1328,9.4,100,Gym Workout,Fog,Other,Happy
214,01-01-2023,5774,3233.67,15.24,1305,3,77,Gym Workout,Rain,Gym,Stressed
798,01-01-2023,29755,2365.36,12.95,1027,9.1,109,Running,Clear,Gym,Happy
61,01-01-2023,8124,3860.26,15.01,112,3.4,167,Yoga,Snow,Home,Tired
331,01-01-2023,21263,3995.08,13.06,768,3.2,64,Cycling,Rain,Office,Stressed
455,01-01-2023,4102,3895.85,14.4,376,10,147,None,Fog,Home,Happy
783,01-01-2023,4810,2434.31,1.49,1131,7.4,90,Yoga,Snow,Office,Happy
918,01-01-2023,15302,1646.31,10.64,1180,3.8,67,Walking,Clear,Office,Tired
201,01-01-2023,7104,2638.94,4.99,378,4.9,177,Walking,Clear,Home,Tired
571,01-01-2023,28383,2668.59,2.52,626,0.3,100,Cycling,Fog,Park,Stressed
884,01-01-2023,4881,1794.23,15.21,89,9.1,160,Cycling,Fog,Home,Tired
452,01-01-2023,26799,1573.76,7.06,215,7.3,89,Yoga,Fog,Other,Neutral
294,01-01-2023,3564,1555.18,6.66,114,2.8,176,Running,Rain,Other,Stressed
988,01-01-2023,18511,2691.08,10.14,1414,4.2,116,Yoga,Fog,Office,Tired
767,01-01-2023,28344,1889.46,17.24,827,9.7,145,Gym Workout,Snow,Park,Stressed
538,01-01-2023,24741,1861.82,2.48,137,8.5,151,Cycling,Snow,Park,Neutral
940,01-01-2023,4399,1568.6,15.97,363,8.7,100,None,Clear,Gym,Tired
879,01-01-2023,2172,2130.33,11.55,611,9.5,122,Running,Clear,Park,Tired
319,01-01-2023,11247,3798.26,1.93,824,3.4,84,Walking,Fog,Office,Tired
556,01-01-2023,16858,3658.04,2.61,1247,6.5,64,None,Clear,Park,Happy
166,01-01-2023,15295,3414.5,3.68,531,7,94,Running,Clear,Home,Neutral
112,01-01-2023,17386,1855.95,0.04,1262,0.1,76,None,Rain,Office,Happy
377,01-01-2023,22519,3135.34,5.49,292,5.9,71,Swimming,Fog,Gym,Happy
362,01-01-2023,17198,3702.3,1.48,788,7.1,84,Walking,Rain,Home,Tired
209,01-01-2023,21460,2552.31,15.18,954,7.5,170,Swimming,Clear,Other,Happy
873,01-01-2023,3359,1610.75,15.86,478,5.1,178,Running,Rain,Gym,Tired
699,01-01-2023,8958,3102.41,4.3,58,4.9,143,Cycling,Rain,Park,Tired
683,01-01-2023,15393,2094.3,6.31,1256,7.4,136,Swimming,Snow,Home,Tired
391,01-01-2023,5337,3212.11,6.08,86,8.8,153,Walking,Clear,Other,Tired
910,01-01-2023,3819,3230.39,15.91,1122,3.6,96,Swimming,Rain,Gym,Tired
558,01-01-2023,13520,2392.79,9.69,1292,3,147,Running,Clear,Park,Stressed
75,01-01-2023,4493,3332.84,0.44,600,7.3,144,Cycling,Snow,Office,Neutral
564,01-01-2023,24737,3636.88,2.63,212,2.1,106,Running,Rain,Park,Happy
242,01-01-2023,25206,1711.18,5.62,898,10.9,129,Walking,Fog,Gym,Tired
504,01-01-2023,13589,3086.08,3.75,136,9.8,143,Swimming,Clear,Office,Tired
401,01-01-2023,18893,2716.6,8.33,428,4.2,127,Swimming,Clear,Park,Stressed
856,01-01-2023,11905,2236.42,4.51,86,10.8,76,Yoga,Rain,Gym,Happy
878,01-01-2023,20852,2293.53,18.01,30,11.4,77,Swimming,Rain,Other,Happy
228,01-01-2023,13068,3889.15,13.75,1284,7.3,66,Cycling,Clear,Park,Neutral
751,01-01-2023,27525,3634.67,14.9,512,9.7,132,Cycling,Fog,Office,Tired
259,01-01-2023,16988,3535.61,9.67,159,7.9,162,Cycling,Rain,Other,Tired
827,01-01-2023,1762,3313.18,2.72,708,0.4,98,None,Snow,Other,Happy
898,01-01-2023,18047,1744.98,17.7,1118,9.9,150,None,Fog,Gym,Stressed
792,01-01-2023,2751,3284.8,11.8,956,7.2,170,Walking,Snow,Park,Happy
90,01-01-2023,15989,2162.76,8.45,134,10.9,101,Cycling,Snow,Home,Neutral
108,01-01-2023,26849,1875.53,5.57,1165,11.1,136,None,Rain,Gym,Happy
664,01-01-2023,22037,3181.13,14.93,456,7,149,Gym Workout,Clear,Gym,Stressed
128,01-01-2023,14958,2314.57,19.32,818,10.7,110,Gym Workout,Snow,Home,Stressed
370,01-01-2023,10975,3993.4,12.46,226,2.4,177,Gym Workout,Snow,Office,Stressed
650,01-01-2023,8672,2101.32,2.37,99,10.9,78,Yoga,Clear,Office,Happy
323,01-01-2023,5359,1878.42,4.62,324,0.9,107,None,Rain,Gym,Stressed
255,01-01-2023,5833,2102.24,15.4,385,3.2,177,Gym Workout,Clear,Office,Tired
48,01-01-2023,10887,3179.33,3.03,144,5.3,120,None,Fog,Gym,Happy
689,01-01-2023,18143,3523.19,4.86,1113,11.2,102,Running,Clear,Home,Stressed
860,01-01-2023,1804,2988.27,10.6,985,9.1,78,Cycling,Fog,Home,Stressed
109,01-01-2023,592,2065.83,10.6,608,9.2,112,Walking,Snow,Gym,Tired
211,01-01-2023,11391,3611.02,4.49,805,0.5,135,Gym Workout,Fog,Gym,Happy
633,01-01-2023,18852,2124.16,13.18,611,6,129,Yoga,Fog,Other,Stressed
194,01-01-2023,2416,3978.48,3.7,356,9.4,106,Swimming,Fog,Park,Stressed
425,01-01-2023,8443,1932.99,3.07,315,11.5,80,Walking,Rain,Gym,Happy
450,01-01-2023,890,3699.76,3.98,825,7.7,86,None,Rain,Gym,Happy
769,01-01-2023,7218,3158.56,12.27,1254,2.7,129,Running,Clear,Other,Happy
425,01-01-2023,25391,2026.7,3.53,208,2.6,145,Yoga,Snow,Office,Neutral
506,01-01-2023,15657,3314.23,8.34,171,0.5,151,Gym Workout,Snow,Home,Neutral
927,01-01-2023,4801,2864.36,14.66,639,4.4,146,Running,Clear,Home,Stressed
528,01-01-2023,1226,2974.62,6.11,521,2.6,157,Swimming,Snow,Gym,Stressed
896,01-01-2023,25741,2627.88,4.88,635,9,67,Yoga,Clear,Park,Neutral
960,01-01-2023,5662,3424.86,13.38,943,11.7,173,Swimming,Fog,Other,Tired
155,01-01-2023,20512,2921.72,14.46,583,1.7,164,Running,Snow,Office,Tired
484,01-01-2023,145,2251.3,15.35,974,0.5,129,Cycling,Rain,Other,Tired
61,01-01-2023,26247,2666.3,8.38,1248,5.7,64,Walking,Clear,Park,Neutral
192,01-01-2023,24039,1505.58,17.92,25,10.6,164,None,Fog,Park,Stressed
433,01-01-2023,20737,2401.01,8.53,373,3.1,112,Gym Workout,Clear,Gym,Happy
566,01-01-2023,16151,2364.84,18.77,716,10.4,148,Walking,Clear,Other,Tired
473,01-01-2023,9259,3877.41,1.28,1200,8.3,66,None,Rain,Home,Happy
360,01-01-2023,14235,3767.15,0.49,1183,7,67,Cycling,Snow,Gym,Neutral
869,01-01-2023,19974,1531.55,17.56,408,4.9,138,Walking,Rain,Home,Tired
574,01-01-2023,29054,3510.74,12.66,678,6.8,177,Gym Workout,Snow,Home,Happy
520,01-01-2023,17866,2723.97,4.99,346,11.7,162,Swimming,Snow,Gym,Neutral
820,01-01-2023,1537,1833.26,12.1,211,0.2,80,Cycling,Rain,Other,Neutral
54,01-01-2023,20970,2445.81,7.16,375,6,100,None,Rain,Home,Neutral
335,01-01-2023,26733,1814.46,14.39,305,0.7,95,None,Fog,Other,Happy
413,01-01-2023,11289,3832.72,2.14,1043,5.2,127,Running,Snow,Park,Happy
402,01-01-2023,11479,2530.42,3.35,113,3.1,81,Running,Clear,Park,Neutral
617,01-01-2023,19138,1718.37,18.12,21,10.2,147,Cycling,Rain,Gym,Stressed
535,01-01-2023,17759,1765.03,17.88,193,11.2,142,Running,Snow,Home,Stressed
282,01-01-2023,15130,1596.57,2.89,1243,11.2,101,Cycling,Snow,Park,Tired
681,01-01-2023,13937,3199.02,12.37,191,1.9,145,Gym Workout,Snow,Gym,Stressed
829,01-01-2023,12346,1977.77,3.12,461,10.8,118,Yoga,Rain,Office,Happy
971,01-01-2023,11905,3166.44,0.99,525,3.9,139,Swimming,Snow,Other,Happy
53,01-01-2023,6062,3635.86,7.56,1056,10.1,74,Walking,Clear,Park,Stressed
590,01-01-2023,18401,2965.63,5.12,227,3.7,97,Swimming,Clear,Park,Neutral
646,01-01-2023,8004,3543.77,8.82,1339,8.1,105,None,Clear,Gym,Tired
641,01-01-2023,29229,1815.35,19.44,190,5.2,158,Gym Workout,Snow,Park,Stressed
524,01-01-2023,17313,3433.35,3.17,224,7.1,108,Walking,Rain,Other,Happy
559,01-01-2023,15944,2289.13,0.83,791,8.8,70,Gym Workout,Fog,Gym,Tired
649,01-01-2023,5000,2388.04,1.8,1276,3.3,163,Running,Snow,Home,Happy
823,01-01-2023,8838,3489.42,19.99,1116,6.1,95,Walking,Rain,Office,Neutral
169,01-01-2023,5964,3212.07,11.07,1062,4.3,172,Walking,Fog,Office,Neutral
44,01-01-2023,7385,3262.21,16.42,787,4.3,157,Walking,Fog,Park,Neutral
342,01-01-2023,23486,2835.54,13.5,593,4.7,130,Swimming,Rain,Gym,Happy
152,01-01-2023,7101,3556.89,13.23,1364,9.8,104,Cycling,Fog,Home,Neutral
636,01-01-2023,16077,2786.42,9.61,547,10.6,162,Yoga,Fog,Gym,Stressed
657,01-01-2023,19715,3367.07,15.09,372,6.1,159,None,Rain,Other,Tired
650,01-01-2023,20769,1741.28,4.27,513,8.7,149,Swimming,Snow,Other,Stressed
576,01-01-2023,15501,2847.78,9.11,952,2.7,167,Swimming,Clear,Home,Happy
913,01-01-2023,25613,1726.98,10.47,915,11,178,Walking,Fog,Gym,Stressed
942,01-01-2023,8725,3527.22,9.73,478,6.5,122,Yoga,Snow,Office,Happy
267,01-01-2023,7802,2149.75,0.65,238,8.9,101,Walking,Clear,Office,Neutral
372,01-01-2023,19798,2462.4,13.69,185,0.3,124,Yoga,Fog,Park,Happy
841,01-01-2023,25376,2945.87,13.8,340,2,167,None,Rain,Gym,Stressed
85,01-01-2023,19758,3471.74,11.93,230,2.6,161,Yoga,Clear,Office,Neutral
810,01-01-2023,1803,3237.79,6.66,295,7.5,75,Cycling,Fog,Park,Happy
878,01-01-2023,11255,3113.04,10.95,303,2.6,136,Walking,Rain,Park,Stressed
988,01-01-2023,5170,3111.33,3.73,493,5.4,159,Cycling,Rain,Gym,Stressed
670,01-01-2023,28896,2146.16,15.58,906,9.5,111,Walking,Snow,Park,Happy
642,01-01-2023,23398,1508.97,10.8,1113,1.6,151,Yoga,Fog,Home,Tired
825,01-01-2023,17332,2160.72,0.92,1020,6.6,85,Swimming,Rain,Gym,Stressed
572,01-01-2023,3084,3385.66,16.76,157,5.5,113,Cycling,Fog,Park,Tired
948,01-01-2023,11841,2332.15,14.95,1002,2.8,100,Gym Workout,Snow,Other,Neutral
107,01-01-2023,16555,2180.11,5,947,3.4,81,Yoga,Clear,Home,Neutral
874,01-01-2023,23735,2722.48,18.56,475,6.6,118,Yoga,Clear,Gym,Tired
496,01-01-2023,21646,3373.66,17.27,1299,7.4,108,Yoga,Snow,Park,Tired
258,01-01-2023,20596,1871.62,9.09,1360,2.4,79,Walking,Snow,Gym,Happy
428,01-01-2023,719,3359.47,5.25,766,2,175,Gym Workout,Rain,Gym,Neutral
410,01-01-2023,12433,3228.42,13.03,1021,0.4,166,Yoga,Clear,Home,Neutral
127,01-01-2023,24811,3618.49,15.63,797,10.2,109,Cycling,Snow,Other,Happy
768,01-01-2023,28507,2841.49,2.76,369,10.2,97,Walking,Rain,Office,Neutral
653,01-01-2023,29772,2358.62,5.16,1380,6.8,124,Running,Snow,Home,Stressed
534,01-01-2023,27558,2087.73,10.01,729,10.2,118,Walking,Rain,Park,Neutral
147,01-01-2023,25209,3105.21,5.35,1116,10.6,122,Cycling,Snow,Home,Happy
711,01-01-2023,26531,2978.74,4.48,865,8.4,96,None,Clear,Home,Happy
571,01-01-2023,25839,2821.25,11.3,120,1.1,73,Yoga,Rain,Other,Neutral
525,01-01-2023,11702,3738.92,13,1123,5.4,71,Cycling,Snow,Park,Stressed
